Time	Author	Message	Skype Name
8/28/2014 15:14	Skyper 1	…	skyper1
8/28/2014 15:15	Skyper 2	…	skyper2
8/28/2014 15:15	Skyper 1	…	skyper1
8/28/2014 15:15	Skyper 2	…	skyper2
8/28/2014 15:15	Skyper 2	…	skyper2
8/28/2014 15:15	Skyper 1	…	skyper1
8/28/2014 15:15	Skyper 2	…	skyper2
8/28/2014 15:15	Skyper 2	…	skyper2
8/28/2014 15:15	Skyper 2	…	skyper2
8/28/2014 15:16	Skyper 1	…	skyper1
8/28/2014 15:16	Skyper 1	…	skyper1
8/28/2014 15:16	Skyper 2	…	skyper2
8/28/2014 15:16	Skyper 2	…	skyper2
8/28/2014 15:16	Skyper 1	…	skyper1
8/28/2014 15:16	Skyper 2	…	skyper2
8/28/2014 15:17	Skyper 1	…	skyper1
8/28/2014 15:19	Skyper 1	…	skyper1
8/28/2014 15:19	Skyper 2	…	skyper2
8/28/2014 15:19	Skyper 2	…	skyper2
8/28/2014 15:20	Skyper 1	…	skyper1
